id,player_api_id,player_name,player_fifa_api_id,birthday,height,weight
1,505942,"Aaron Appindangoye",218353,"1992-02-29 00:00:00",182.88,187
2,155782,"Aaron Cresswell",189615,"1989-12-15 00:00:00",170.18,146
3,162549,"Aaron Doran",186170,"1991-05-13 00:00:00",170.18,163
4,30572,"Aaron Galindo",140161,"1982-05-08 00:00:00",182.88,198
5,23780,"Aaron Hughes",17725,"1979-11-08 00:00:00",182.88,154
6,27316,"Aaron Hunt",158138,"1986-09-04 00:00:00",182.88,161
7,564793,"Aaron Kuhl",221280,"1996-01-30 00:00:00",172.72,146
8,30895,"Aaron Lennon",152747,"1987-04-16 00:00:00",165.1,139
9,528212,"Aaron Lennox",206592,"1993-02-19 00:00:00",190.5,181
10,101042,"Aaron Meijers",188621,"1987-10-28 00:00:00",175.26,170
11,23889,"Aaron Mokoena",47189,"1980-11-25 00:00:00",182.88,181
12,231592,"Aaron Mooy",194958,"1990-09-15 00:00:00",175.26,150
13,163222,"Aaron Muirhead",213568,"1990-08-30 00:00:00",187.96,168
14,40719,"Aaron Niguez",183853,"1989-04-26 00:00:00",170.18,143
15,75489,"Aaron Ramsey",186561,"1990-12-26 00:00:00",177.8,154
16,597948,"Aaron Splaine",226014,"1996-10-13 00:00:00",172.72,163
17,161644,"Aaron Taylor-Sinclair",213569,"1991-04-08 00:00:00",182.88,176
18,23499,"Aaron Wilbraham",2335,"1979-10-21 00:00:00",190.5,159
19,120919,"Aatif Chahechouhe",187939,"1986-07-02 00:00:00",175.26,150
20,46447,"Abasse Ba",156626,"1976-07-12 00:00:00",187.96,185
21,167027,"Abdelaziz Barrada",192274,"1989-06-19 00:00:00",177.8,161
22,245653,"Abdelfettah Boukhriss",202425,"1986-10-22 00:00:00",185.42,161
23,128456,"Abdelhamid El Kaoutari",188145,"1990-03-17 00:00:00",180.34,161
24,42664,"Abdelkader Ghezzal",178063,"1984-12-05 00:00:00",182.88,172
25,425950,"Abdellah Zoubir",212934,"1991-12-05 00:00:00",180.34,161
26,38423,"Abdelmajid Oulmers",52782,"1978-09-12 00:00:00",172.72,143
27,3264,"Abdelmalek Cherrad",51868,"1981-01-14 00:00:00",185.42,165
28,467485,"Abdelmalek El Hasnaoui",209399,"1994-02-09 00:00:00",180.34,159
29,306735,"Abdelouahed Chakhsi",210504,"1986-10-01 00:00:00",182.88,170
30,41659,"Abderrazak Jadid",149241,"1983-06-01 00:00:00",177.8,157
31,31684,"Abdeslam Ouaddou",33022,"1978-11-01 00:00:00",190.5,181
32,32637,"Abdessalam Benjelloun",177295,"1985-01-28 00:00:00",187.96,179
33,563215,"Abdou Diallo",225711,"1996-05-04 00:00:00",182.88,159
34,41093,"Abdou Traore",187048,"1988-01-17 00:00:00",180.34,174
35,564712,"Abdoul Ba",225050,"1994-02-08 00:00:00",200.66,212
36,67334,"Abdoul Karim Yoda",188232,"1988-10-25 00:00:00",182.88,161
37,173955,"Abdoul Razzagui Camara",193953,"1990-02-20 00:00:00",177.8,157
38,39562,"Abdoulay Konko",161999,"1984-03-09 00:00:00",182.88,157
39,191784,"Abdoulaye Ba",204826,"1991-01-01 00:00:00",198.12,174
40,210400,"Abdoulaye Bamba",199313,"1990-04-25 00:00:00",182.88,150
